"","Estimate","Std. Error","t value","Pr(>|t|)"
"companyBrand 1108",-1.86581126842627,4.50750411914866,-0.413934456654179,0.678932438173565
"companyBrand 1109",9.38800231188585,3.24706289110038,2.89122897422673,0.00384700258448185
"companyBrand 111",-11.463552353527,14.7830838921752,-0.775450673021935,0.438094739102875
"companyBrand 1110",0.606280557291371,1.89399003697994,0.320107574725217,0.748894565713715
"companyBrand 1111",-1.4570159156264,2.63982018969075,-0.551937560488575,0.581005485081588
"companyBrand 1112",-0.759583665473228,1.87929278430779,-0.404185910687147,0.68608607135342
"companyBrand 1113",74.9446474007503,33.1698939763778,2.25941775557446,0.0238823511478697
"companyBrand 1114",-2.79014506129002,1.71322001032223,-1.62859705378134,0.103435002004635
"companyBrand 1115",-0.270170772396535,2.13436394978267,-0.126581397902661,0.899274682048941
"companyBrand 1116",-42.8003968075426,11.4912642727836,-3.72460294981752,0.000196875072166677
"companyBrand 1117",-3.57267333186492,2.65825351112605,-1.34399270683236,0.178986224088736
"companyBrand 1118",-13.2169737826097,18.5047853243379,-0.714246263923228,0.475094312197438
"companyBrand 1119",-21.5335326414548,7.70024462188472,-2.79647383931865,0.00517783712268608
"companyBrand 112",-14.8179900322813,7.07375400352571,-2.09478447015484,0.0362193593849152
"companyBrand 1120",-2.18981376613897,1.06916435193587,-2.04815448829172,0.0405751849679357
"companyBrand 1121",-36.4920499797842,16.7159662815024,-2.18306554136602,0.0290579477843394
"companyBrand 1122",-1.30160976620525,2.60399491089636,-0.499851117511287,0.617192711466845
"companyBrand 1123",-3.82768197722136,2.23093027131068,-1.71573357824966,0.086246858697253
"companyBrand 1124",4.9572496834977,5.66253480673011,0.875447101465202,0.381355147358254
"companyBrand 1125",-4.84993708305757,14.1822896725693,-0.341971373807015,0.732380797217349
"companyBrand 1126",8.2570654618243,3.56380344550425,2.31692504597598,0.0205312040138495
"companyBrand 1127",-1.88911029590922,2.72989038481862,-0.692009578998072,0.488950008755428
"companyBrand 1128",-2.20754140378331,2.64126444776238,-0.835789617981454,0.403296504076494
"companyBrand 1129",-11.5623473791071,15.4269401918915,-0.749490646575806,0.453582048991527
"companyBrand 113",-5.61680283621769,4.60522401737423,-1.2196589818491,0.222627647682385
"companyBrand 1130",-0.539144373649203,2.07749513442215,-0.259516551791667,0.795242929086649
"companyBrand 1131",-3.04067859809459,2.28363723053687,-1.331506842433,0.183057610802054
"companyBrand 1132",1.45356575931127,8.99950953094491,0.161516108662718,0.871690721812137
"companyBrand 1133",28.0605979656852,5.02482173738626,5.58439670743054,2.416574434375e-08
"companyBrand 1134",5.47855667454643,7.8488866124018,0.698004308775454,0.48519338410442
"companyBrand 1135",0.0560622705836155,1.45778426039555,0.0384571792319967,0.969324065488324
"companyBrand 1136",-7.77514368400064,6.65714284189252,-1.16794004104474,0.242863351512224
"companyBrand 1137",-46.7797078968746,13.7058836440229,-3.4131114134531,0.000645220968674594
