"","Estimate","Std. Error","t value","Pr(>|t|)"
"companyBrand 1041",-529.18070490168,145.850713871722,-3.62823527464599,0.000287020154966412
"companyBrand 1042",-20.7300626225633,7.46283021504379,-2.77777492254547,0.00548511909792411
"companyBrand 1043",-8.05400068606799,3.91534585408005,-2.05703429179192,0.0397130359331835
"companyBrand 1044",1.75941173274909,2.8291377825345,0.621889730366158,0.5340308734754
"companyBrand 1045",4.45485636449885,7.13591043532122,0.62428703455249,0.532455666781662
"companyBrand 1046",-3.82213358276265,4.06003429342475,-0.941404260784847,0.346524188558114
"companyBrand 1047",-372.454359662222,100.799178266778,-3.69501384898669,0.000221240456138829
"companyBrand 1048",-0.814926844700506,0.883018465605928,-0.922887659140065,0.356091658298554
"companyBrand 1049",-3.15558815668151,4.8413566436733,-0.651798326158277,0.514548709768635
"companyBrand 105",0.825302460174873,1.56632073553963,0.526905148766062,0.598273056257165
"companyBrand 1050",40.3493873132616,11.1012059200909,3.63468506067774,0.0002799453624338
"companyBrand 1051",-2.82503639767959,3.41477739025296,-0.827297382764478,0.408091494441585
"companyBrand 1052",-0.818764910677631,4.33475644362727,-0.188883717303503,0.850188415205922
"companyBrand 1053",6.68971244969863,3.39362492402859,1.97125863920083,0.048726328120951
"companyBrand 1054",-2.71372202865307,8.85833663448857,-0.306346681168969,0.759348120404915
"companyBrand 1055",-2.97003229456255,2.1796958480466,-1.3625902426819,0.173047386403781
"companyBrand 1056",6.86846129631175,15.886668698126,0.432341192909875,0.66550429869136
"companyBrand 1057",-3.04284358829236,1.94273360153318,-1.56626908902537,0.117322447964252
"companyBrand 1058",13.3778598096593,4.90037744422438,2.72996518368735,0.00634700337987605
"companyBrand 1059",-0.222909092017093,2.65937804052247,-0.0838200092730328,0.93320149095129
"companyBrand 106",-3.61199253345412,2.33341429271381,-1.54794309126019,0.121672815927639
"companyBrand 1060",4.53942110821461,2.64475220734181,1.71638805919633,0.0861270728411656
"companyBrand 1061",-1.74199852101605,1.52731845030116,-1.14056012396928,0.254084798999251
"companyBrand 1062",0.206445597304766,3.26031853922042,0.0633206831851863,0.949512618461257
"companyBrand 1063",1.21895712851535,2.93868084943041,0.414797383918574,0.678300587459964
"companyBrand 1064",0.249809299032288,1.14497108225726,0.218179570561554,0.827294381656182
"companyBrand 1065",-1.11923307306826,2.06933708058216,-0.54086551851349,0.588614295582075
"companyBrand 1066",-16.8108096368413,11.0270923129825,-1.52450067159132,0.127420481307453
"companyBrand 1067",17.2403695413906,6.0793798688162,2.83587634156964,0.00458069199478752
"companyBrand 1068",1.95047963200531,1.31331580349886,1.48515659889948,0.137539019899264
"companyBrand 1069",-10.7065155591845,16.141532134014,-0.663289920082825,0.507162679668477
"companyBrand 107",-2.48940430319937,1.38352799743728,-1.79931617416526,0.0720037430669146
"companyBrand 1070",11.8238653281491,3.04740286288346,3.87998103964544,0.000105244775310677
"companyBrand 1071",72.4809443646974,14.2197654116928,5.09719691332579,3.52064233746092e-07
"companyBrand 1072",-1.70136114326206,1.56180853930349,-1.0893532084418,0.276028698675129
"companyBrand 1073",-2.1120722997367,1.95281743924266,-1.08155133055131,0.279482284278111
"companyBrand 1074",4.11490416540453,8.33218901195781,0.493856315489134,0.621420277615698
"companyBrand 1075",-1.21480869839648,5.35441075189493,-0.226879997573319,0.820522451795134
"companyBrand 1076",2.4490244216932,1.9180545482253,1.27682730606342,0.201697716964154
"companyBrand 1077",5.78017788102136,10.5046796922281,0.55024789430732,0.582163656546696
"companyBrand 1078",13.6999160843936,6.88698085719869,1.9892484629275,0.0467054296628276
"companyBrand 1079",-0.305758166684139,3.97194258051651,-0.0769795032244346,0.938641642402401
"companyBrand 108",19.9257246173371,3.48149339418978,5.72332684892951,1.07963634212463e-08
"companyBrand 1080",3.15113739827053,6.2633396539151,0.503108177488158,0.614901109522148
"companyBrand 1081",12.8711423957778,2.03146062844642,6.33590541482514,2.47809466610822e-10
"companyBrand 1082",-0.631904583668455,1.95802468239526,-0.322725545469347,0.746910954057988
"companyBrand 1083",0.279666188548339,1.55615395150616,0.179716273108877,0.857379553853714
"companyBrand 1084",-1.48043721104347,2.6635776666763,-0.555807787985702,0.578356728089389
"companyBrand 1085",1.91025314104713,3.78830945663906,0.504249497806835,0.614098986898109
"companyBrand 1086",-24.2320566612912,7.93801229845723,-3.05266050872719,0.00227515436664543
"companyBrand 1087",2.78580213904946,2.85072250342257,0.977226698040526,0.328484436875551
"companyBrand 1088",1.25497404611946,2.75383829936504,0.45571813218257,0.648604194184217
"companyBrand 1089",-3.24000903959158,2.6678437542611,-1.21446731444321,0.224602689051655
"companyBrand 109",-0.361460615140065,1.09206683538516,-0.330987631368351,0.740661896833464
"companyBrand 1090",-2.93757667757185,3.17746889912604,-0.924502102406048,0.35525091160426
